0001h ,,GEE 
00A1h ,,Creative Lighting And Sound Systems Pty Ltd. 
0101h ,,St. Anne Engineering GmbH 
0102h ,,Bortis Elektronik 
016Ch ,,LGR 
0204h ,,LIGHTLINE Lasertechnik GmbH 
0242h ,,ABLELITE INTERNATIONAL 
025Bh ,,Imlight-Showtechnic 
026Fh ,,Acuity Brands Lighting Inc. 
02A0h ,,LLC Likhoslavl Plant of Lighting Engineering (Svetotehnika) 
02A1h ,,LLC Moscow Experimental Lighting Plant (TeleMechanic) 
02A2h ,,OJSC Kadoshkinsky electrotechnical  
02AAh ,,"Jinnax Opto Technology Co., Ltd.  "
02BDh ,,RE-Engineering 
02C8h ,,Growflux LLC 
02CAh ,,Acclaim Lighting 
02CBh ,,"GVA Lighting, Inc. "
02D0h ,,Winona Lighting 
02E1h ,,Tait Towers Manufacturing Inc. 
02ECh ,,Lutron Electronics 
0303h ,,"Shanghai Moons' Automation Control Co., Ltd "
0306h ,,feno GmbH 
0308h ,,ImageCue LLC  
030Fh ,,"Guangzhou Litewise Lighting Equipments Co., Ltd. dba ""EK Lights"" "
032Ch ,,Carallon Ltd. 
033Ah ,,Lux Lumen 
034Bh ,,Rosstech Signals Inc. 
038Fh ,,Strich Labs 
0391h ,,Alcorn McBride Inc. 
0393h ,,i2Systems 
0394h ,,Prism Projection 
039Bh ,,Lightforce Lasertechnik 
03D5h ,,eX Systems 
0424h ,,FLUX ECLAIRAGE 
0440h ,,"Guangzhou VAS Lighting Co., Ltd. "
044Eh ,,Birdbrain Labs LLC 
0455h ,,Lamp & Pencil 
048Eh ,,Krisledz Pte. Ltd. 
048Fh ,,"Grand Canyon LED Lighting System (Suzhou) Co., Ltd.  "
04A6h ,,MEB Veranstaltungstechnik GmbH 
04A9h ,,Edward J. Keefe Jr. 
04B8h ,,"Guangzhou Hongcai Stage Equipment Co., Ltd. "
04C4h ,,"Ephesus Lighting, Inc. "
04D7h ,,Targetti Sankey Spa 
04DDh ,,"Topstriving Photoelectricity Technology Co., Ltd. "
04FCh ,,Syncrolite LLC 
050Ah ,,ChamSys Ltd. 
051Ch ,,"Ambitsel, Inc. "
0529h ,,OSRAM 
0537h ,,TERMINAL-COM 
0540h ,,"EverBrighten Co., Ltd. "
055Fh ,,PRO-SOLUTIONS 
056Bh ,,COSMOLIGHT SRL 
056Ch ,,Lumascape Lighting Industries 
0573h ,,"JIAXING XINHUALI LIGHTING & SOUNDING CO., LTD. "
0580h ,,Innovation LED Limited 
05ABh ,,"Shenzhen Lesan Lighting Co., Ltd.  "
05B5h ,,Turkowski GmbH  
05CFh ,,"Brighten Technology Development Co., Ltd. "
05D3h ,,D-LED Illumination Technologies Ltd. 
05EFh ,,"Guangzhou Chai Yi Light Co., Ltd. "
0609h ,,Diginet Control Systems Pty Ltd 
060Bh ,,"Lighting Science Group (formerly LED Effects, Inc.) "
062Bh ,,"CKC Lighting Co., Ltd. "
063Ah ,,AVM Belgium BVBA 
0650h ,,"RDC, Inc. d.b.a. LynTec "
065Eh ,,OFilms 
0682h ,,"Beijing Ming Rui Lighting Technology Co., Ltd.  "
0684h ,,LEDART LLC 
0685h ,,IBL/ESD-Datentechnik GmbH 
06A0h ,,Light.Audio.Design 
06C4h ,,RHENAC Systems GmbH 
06C7h ,,L&L Luce&Light 
06CEh ,,American-Pro International 
06E6h ,,Equipson S.A. 
06ECh ,,SISTEMA Jsc 
06F0h ,,CTG sp. z o.o. 
0702h ,,Drinelec 
0707h ,,Conceptinetics Technologies and Consultancy Ltd. 
070Fh ,,Theatrelight New Zealand 
0710h ,,D.T.S. Illuminazione srl 
0712h ,,Laser Imagineering GmbH 
072Ch ,,SGM A/S 
072Fh ,,RayComposer - R. Adams 
0732h ,,Galaxia Electronics 
0734h ,,CPOINT 
073Bh ,,Corsair Technology Ltd. 
074Fh ,,Panasonic Corporation 
075Fh ,,LEDEngin Inc. 
0776h ,,lumenetix 
078Ah ,DMXTOOLBOX ,FATEC sarl 
0792h ,,MY-Semi Inc. 
07ADh ,,CLS LED BV 
07AEh ,,A-LITE B.V. 
07B0h ,,ADDiCTiON BoX GbR 
07CCh ,,Griven S.r.l. 
07FDh ,,THELIGHT Luminary for Cine and TV S.L. 
0807h ,,"Event Lighting Pty, Ltd. "
0808h ,,Zero 88 
080Fh ,,Navo Corp. 
0851h ,,Junction Inc. Ltd 
0858h ,,Juno Lighting Group  
0869h ,,Club Cannon LLC 
0875h ,,ARC Solid-State Lighting Corp. 
0878h ,,OTTEC Technology GmbH 
0885h ,,SIRS-E 
088Ah ,,Highendled Electronics Company Limited 
089Ah ,,ADL Electronics Ltd. 
08A4h ,,Adam Hall GmbH 
08AAh ,,PiXL Factory 
08ACh ,,Bushveld Labs 
08AFh ,,AAdyn Technology 
08B0h ,,KIM Lighting 
08B2h ,,MCI Group 
08B3h ,,Stealth Light srl 
08BDh ,,Lug Light Factory Sp. z o. o. 
08C5h ,,Ehrgeiz 
08D3h ,,SVI Public Company Limited  
08D4h ,,Sensa-Lite Ltd. 
08D7h ,,"PatternAgents, LLC "
08D8h ,,W.A. Benjamin Electric Co. 
08D9h ,,STILED 
08E0h ,,Red Arrow Controls 
08EDh ,,ShowLED 
08F1h ,,"SanDevices, LLC "
08F6h ,,"Eulum Design, LLC "
08F9h ,,ACS - Ackerman Computer Sciences 
08FAh ,,"Phaton Lighting Co., Ltd. "
0901h ,CaveLighting ,GermTec GmbH & Co. KG 
0904h ,,"Bigbear Co., Ltd. "
090Ch ,,GRE Alpha 
0914h ,,Xenio 
0916h ,,"ACTOR-MATE CO., LTD. "
0918h ,,David O Smith Design 
091Bh ,,Krislite Pte. Ltd. 
0936h ,,AquaTronic 
093Ah ,,HDT impex s.r.o. 
0940h ,,"Shenzhen CreateLED Electronics Co., Ltd "
0946h ,,TBE Srl 
0951h ,,"Guangzhou GTD Lighting Technology Co., Ltd  "
0958h ,VDI ,"Illum Technology LLC (previously Verde Designs, Inc.) "
095Ah ,,kLabs Research UK 
095Fh ,ElabNET ,Elaborated Networks GmbH 
0960h ,,Fineline Solutions Ltd. 
0965h ,,Fontana Fountains 
0974h ,,"Marumo Electric Co., Ltd. "
0975h ,,KB Design 
097Ah ,,Teamboyce Limited 
097Dh ,,Brink Electronics 
097Fh ,,RaumZeitLabor e.V. 
0980h ,,Moog Animatics 
0981h ,,"Luxam, Ltd. "
0982h ,,AC Entertainment Products Ltd. 
0986h ,,ROE Visual Co. Ltd. 
0987h ,,mathertel.de 
098Bh ,,"Glow Motion Technologies, LLC. "
098Ch ,,"Shenzhen Longrich Energy Sources Technology Co., Ltd.  "
098Eh ,,Ecosense Lighting Company Limited  
098Fh ,,Digital Sputnik Lighting 
0996h ,,"CCI Power Supplies, LLC "
099Ah ,,Aixz International (S) 
099Eh ,,LLC Lighting Technologies production 
09A0h ,Rnet ,Rnet Lighting Technology Limited 
09A2h ,,Fountain People 
09A5h ,,Prolight Concepts Ltd. 
09AEh ,,Robert Juliat 
09AFh ,,Autotech Co. 
09B3h ,,Aquatique Show Int. 
09B4h ,,Brompton Technology Ltd. 
09B8h ,,Prolites S.A.L. 
09C1h ,,Argetron Elektrik Elektronik Organizasyon Gida San. ve Dis Tic. Ltd. Sti. 
09C3h ,,Velleman nv 
09C8h ,,Crystal Fountains Inc. 
09CCh ,,Motomuto Aps 
09D3h ,,WLPS Wodielite Production Services 
09D6h ,,Mittomakers 
09D7h ,,Unilumin Group 
09E9h ,,Starway 
09FCh ,,deskontrol electronics 
1234h ,,ESTA 
12DAh ,,Newlab S.r.l. 
12E0h ,,Luxlight Skandinavien AB 
12EAh ,,Kolberg Percussion GmbH 
12F4h ,,Stage Services Ltd. 
12FAh ,,Hollywood Rentals LLC 
12FEh ,,City Design S.p.A. 
131Eh ,,Blossom Communications Corp. 
1337h ,,"Raven Systems Design, Inc. "
134Dh ,,VT-Control 
1370h ,,Ingenieurbuero Stahlkopf 
13AEh ,,Smartpark Creative Solutions 
1460h ,,SEIKO Epson Corporation 
1464h ,,HUMAL Elektroonika OU 
1490h ,,Grid Show Systems Inc. 
14A0h ,,"Intense Lighting, LLC "
14ACh ,,Zaklad Elektroniczny AGAT s.c. 
1506h ,,"v2 Lighting Group, Inc. "
